id,sentence,target
60,the concept is a hoot the trailer is a riot the movie is a dud,-
61,"the year 's happiest surprise , a movie that deals with a real subject in an always surprising way",+
62,"leigh 's daring here is that without once denying the hardscrabble lives of people on the economic fringes of margaret thatcher 's ruinous legacy , he insists on the importance of those moments when people can connect and express their love for each other",+
63,throwing it all away for the fleeting joys of love 's brief moment,+
64,"there might be some sort of credible gender provoking philosophy submerged here , but who the hell cares ?",-
65,"just like the deli sandwich lots of ham , lots of cheese , with a sickly sweet coating to disguise its excrescence until just after ( or during ) consumption of its second half",-
66,"the pairing does sound promising in theory but their lack of chemistry makes eddie murphy and robert deniro in showtime look like old , familiar vaudeville partners",-
67,"the director and her capable cast appear to be caught in a heady whirl of new age inspired good intentions , but the spell they cast is n't the least bit mesmerizing",-
68,manages to show life in all of its banality when the intention is quite the opposite,-
69,"it proves quite compelling as an intense , brooding character study",+
70,arguably the best script that besson has written in years,+
71,"deadly dull , pointless meditation on losers in a gone to seed hotel",-
72,"nair 's cast is so large it 's altman esque , but she deftly spins the multiple stories in a vibrant and intoxicating fashion",+
73,"t his slop does n't even have potential as a cult film , as it 's too loud to shout insults at the screen",-
74,"thanks to the ch teau 's balance of whimsicality , narrative discipline and serious improvisation , almost every relationship and personality in the film yields surprises",+
75,leaks treacle from every pore,-
76,"mcgrath has deftly trimmed dickens ' wonderfully sprawling soap opera , the better to focus on the hero 's odyssey from cowering poverty to courage and happiness",+
77,"this is a raw and disturbing tale that took five years to make , and the trio 's absorbing narrative is a heart wrenching showcase indeed",+
78,"trapped presents a frightening and compelling ` what if ? ' scenario that will give most parents pause then , something terrible happens",-
79,gently humorous and touching,+
80,a solid and refined piece of moviemaking imbued with passion and attitude,+
81,"if this disposable tissue has one wild card , it 's john turturro , who 's simply fab as a spanish butler with a foot fetish",-
82,heaven is a haunting dramatization of a couple 's moral ascension,+
83,some stunning visuals and some staggeringly boring cinema,-
84,judith and zaza 's extended bedroom sequence is so intimate and sensual and funny and psychologically self revealing that it makes most of what passes for sex in the movies look like cheap hysterics,+
85,"lanie 's professional success means she must be a failure at life , because she 's driven by ambition and does n't know how to have fun",-
86,"mr caine and mr fraser are the whole show here , with their memorable and resourceful performances",+
87,"i guess it just goes to show that if you give a filmmaker an unlimited amount of phony blood , nothing good can happen",-
88,"however sincere it may be , the rising place never quite justifies its own existence",-
89,"feels less like it 's about teenagers , than it was written by teenagers",-
90,"please , someone , stop eric schaeffer before he makes another film",-
91,"the aaa of action , xxx is a blast of adrenalin , rated eee for excitement and vin diesel is the man",+
92,douglas mcgrath 's nicholas nickleby does dickens as it should be done cinematically,+
93,"after seeing swept away , i feel sorry for madonna",-
94,obstacles are too easily overcome and there is n't much in the way of character development in the script,-
95,the story the movie tells is of brian de palma 's addiction to the junk calorie suspense tropes that have all but ruined his career,-
96,"the special effects and many scenes of weightlessness look as good or better than in the original , while the oscar winning sound and james horner 's rousing score make good use of the hefty audio system",+
97,"ranging from funny to shattering and featuring some of the year 's best acting , personal velocity gathers plenty of dramatic momentum",+
98,if steven soderbergh 's ` solaris ' is a failure it is a glorious failure,+
99,"the streets , shot by cinematographer michael ballhaus , may be as authentic as they are mean , but it is nearly impossible to care about what happens on them",-
100,"call me a cold hearted curmudgeon for not being able to enjoy a mindless action movie , but i believe a movie can be mindless without being the peak of all things insipid",-
101,sushi for the connoisseurs of the macabre,-
102,"a stirring , funny and finally transporting re imagining of beauty and the beast and 1930s horror films",+
103,"the dose is strong and funny , for the first 15 minutes anyway after that , the potency wanes dramatically",-
104,a moving and stark reminder that the casualties of war reach much further than we imagine,+
105,"the vitality of the actors keeps the intensity of the film high , even as the strafings blend together",+
106,"jir hubac 's script is a gem his characters are engaging , intimate and the dialogue is realistic and greatly moving the scope of the silberstein family is large and we grow attached to their lives , full of strength , warmth and vitality",+
107,"as weber and weissman demonstrate with such insight and celebratory verve , the cockettes were n't as much about gender , sexual preference or political agitprop as they were simply a triumph of the indomitable human will to rebel , connect and create",+
108,"as elegantly crafted as it often is , anderson 's movie is essentially a one trick pony that , hampered by an undeveloped script , ultimately pulls up lame",-
109,like mike is n't interested in recycling old cliches it wants to tweak them with a taste of tangy new humor,+
110,"most fish stories are a little peculiar , but this is one that should be thrown back in the river",-
111,it was a dark and stormy night,-
112,too clumsy in key moments to make a big splash,-
113,"clever and unflinching in its comic barbs , slap her is a small but rewarding comedy that takes aim at contemporary southern adolescence and never lets up",+
114,"whether seen on a 10 inch television screen or at your local multiplex , the edge of your seat , educational antics of steve irwin are priceless entertainment",+
115,"massoud 's story is an epic , but also a tragedy , the record of a tenacious , humane fighter who was also the prisoner ( and ultimately the victim ) of history",+
116,greengrass ( working from don mullan 's script ) forgoes the larger socio political picture of the situation in northern ireland in favour of an approach that throws one in the pulsating thick of a truly frightening situation,+
117,"using a stock plot , about a boy injects just enough freshness into the proceedings to provide an enjoyable 100 minutes in a movie theater",+
118,a really good premise is frittered away in middle of the road blandness,-
119,"weird , vulgar comedy that 's definitely an acquired taste",+
120,"a bonanza of wacky sight gags , outlandish color schemes , and corny visual puns that can be appreciated equally as an abstract frank tashlin comedy and as a playful recapitulation of the artist 's career",+
121,"it 's incredible the number of stories the holocaust has generated just when you think that every possible angle has been exhausted by documentarians , another new film emerges with yet another remarkable yet shockingly little known perspective",+
122,"scooby doo does n't know if it wants to be a retro refitting exercise in campy recall for older fans or a silly , nickelodeon esque kiddie flick",-
123,"confessions is n't always coherent , but it 's sharply comic and surprisingly touching , so hold the gong",+
124,"if it 's possible for a sequel to outshine the original , then sl2 does just that",+
125,"this extremely unfunny film clocks in at 80 minutes , but feels twice as long",-
126,"it looks closely , insightfully at fragile , complex relationships",+
127,"nicole holofcener 's lovely and amazing , from her own screenplay , jumps to the head of the class of women 's films that manage to avoid the ghetto of sentimental chick flicks by treating female follies with a satirical style",+
128,"if this movie were a book , it would be a page turner , you ca n't wait to see what happens next",+
129,"the performers are so spot on , it is hard to conceive anyone else in their roles",+
130,each scene wreaks of routine the film never manages to generate a single threat of suspense,-
131,"the film hinges on its performances , and both leads are up to the task",+
132,barely goes beyond comic book status,-
133,"it 's this memory as identity obviation that gives secret life its intermittent unease , reaffirming that long held illusions are indeed reality , and that erasing them recasts the self",+
134,discursive but oddly riveting documentary,+
135,"fast , frantic and fun , but also soon forgotten",+
136,"it 's not exactly worth the bucks to expend the full price for a date , but when it comes out on video , it 's well worth a rental",-
137,"an achingly enthralling premise , the film is hindered by uneven dialogue and plot lapses",-
138,some movies blend together as they become distant memories mention solaris five years from now and i 'm sure those who saw it will have an opinion to share,+
139,a knowing sense of humor and a lot of warmth ignite son of the bride,+
140,"a delightful surprise because despite all the backstage drama , this is a movie that tells stories that work is charming , is moving , is funny and looks professional",+
141,thurman and lewis are hilarious throughout,+
142,amari has dressed up this little parable in a fairly irresistible package full of privileged moments and memorable performances,+
143,"never engaging , utterly predictable and completely void of anything remotely interesting or suspenseful",-
144,"there 's no conversion effort , much of the writing is genuinely witty and both stars are appealing enough to probably have a good shot at a hollywood career , if they want one",+
145,"its maker , steven spielberg , has n't had so much fun in two decades , since he was schlepping indiana jones around the globe in search of a giant misplaced ashtray",+
146,it 's sweet but just a little bit too precious at the start and a little too familiar at the end,-
147,"with a romantic comedy plotline straight from the ages , this cinderella story does n't have a single surprise up its sleeve but it does somehow manage to get you under its spell",+
148,"yes , one enjoys seeing joan grow from awkward young woman to strong , determined monarch , but her love for the philandering philip only diminishes her stature",-
149,"long after you leave justine , you 'll be wondering what will happen to her and wishing her the best whatever that might mean",+
150,the movie generates plot points with a degree of randomness usually achieved only by lottery drawing,-
151,"at times the guys taps into some powerful emotions , but this kind of material is more effective on stage it 's not a motion picture it 's an utterly static picture",+
152,they missed the boat,-
153,"cinematic pyrotechnics aside , the only thing avary seems to care about are mean giggles and pulchritude it makes sense that he went back to school to check out the girls his film is a frat boy 's idea of a good time",-
154,"works because , for the most part , it avoids the stupid cliches and formulaic potholes that befall its brethren",+
155,a well crafted letdown,-
156,"a film centering on a traditional indian wedding in contemporary new delhi may not sound like specialized fare , but mira nair 's film is an absolute delight for all audiences",+
157,"insightfully written , delicately performed",+
158,"one problem with the movie , directed by joel schumacher , is that it jams too many prefabricated story elements into the running time",-
159,` enigma ' is the kind of engaging historical drama that hollywood appears to have given up on in favor of sentimental war movies in the vein of ` we were soldiers ',+
160,"for once , a movie does not proclaim the truth about two love struck somebodies , but permits them time and space to convince us of that all on their own",+
161,m nch 's genuine insight makes the film 's occasional overindulgence forgivable,+
162,"you may think you have figured out the con and the players in this debut film by argentine director fabian bielinsky , but while you were thinking someone made off with your wallet",+
163,"ultimately the movie is too heady for children , and too preachy for adults",-
164,"irwin is so earnest that it 's hard to resist his pleas to spare wildlife and respect their environs there are far worse messages to teach a young audience , which will probably be perfectly happy with the sloppy slapstick comedy",+
165,morvern rocks,+
166,"this film is not a love letter for the slain rappers , it 's a taunt a call for justice for two crimes from which many of us have not yet recovered",+
167,"care deftly captures the wonder and menace of growing up , but he never really embraces the joy of fuhrman 's destructive escapism or the grace in rebellion found by his characters",-
168,"just consider what new best friend does not have , beginning with the minor omission of a screenplay",-
169,"this would be ` james bond for the extreme generation ' pic is one big , dumb action movie stress ` dumb '",-
170,"solaris is rigid and evasive in ways that soderbergh 's best films , erin brockovich , out of sight and ocean 's eleven , never were",-
171,"though perry and hurley make inspiring efforts to breathe life into the disjointed , haphazard script by jay scherick and david ronn , neither the actors nor director reginald hudlin can make it more than fitfully entertaining",-
172,"it 's a wise and powerful tale of race and culture forcefully told , with superb performances throughout",+
173,the visuals alone make metropolis worth seeing,+
174,"there is one surefire way to get a nomination for a best foreign film oscar make a movie about whimsical folk who learn a nonchallenging , life affirming lesson while walking around a foreign city with stunning architecture",-
175,"it 's got its heart in the right place , but it also wilts after awhile",-
176,it 's a sometimes interesting remake that does n't compare to the brilliant original,-
177,it 'll keep you wide awake and very tense,+
178,hits one out of the park for the ` they do n't make 'em like that anymore ' department,+
179,"drug abuse , infidelity and death are n't usually comedy fare , but turpin 's film allows us to chuckle through the angst",+
180,"a silly , self indulgent film about a silly , self indulgent filmmaker",-
181,it is just too bad the film 's story does not live up to its style,-
182,"first time writer director dylan kidd also has a good ear for dialogue , and the characters sound like real people",-
183,"` film aficionados can not help but love cinema paradiso , whether the original version or new director 's cut '",+
184,"if you are curious to see the darker side of what 's going on with young tv actors ( dawson leery did what ? ! ? ) , or see some interesting storytelling devices , you might want to check it out , but there 's nothing very attractive about this movie",-
185,viewers of the ring are more likely to remember the haunting images than the plot holes,+
186,"just a kiss wants desperately to come off as a fanciful film about the typical problems of average people but it is set in a world that is very , very far from the one most of us inhabit",-
187,so purely enjoyable that you might not even notice it 's a fairly straightforward remake of hollywood comedies such as father of the bride,+
188,"with jump cuts , fast editing and lots of pyrotechnics , yu clearly hopes to camouflage how bad his movie is he fails",-
189,falls short in explaining the music and its roots,-
190,"an uncomfortable experience , but one as brave and challenging as you could possibly expect these days from american cinema",+
191,a taut psychological thriller that does n't waste a moment of its two hour running time,+
192,"it 's ricci 's best work yet , this girl woman who sincerely believes she can thwart the world 's misery with blind good will",+
193,"delivers the sexy razzle dazzle that everyone , especially movie musical fans , has been hoping for",+
194,a cockeyed shot all the way,-
195,"finally , the french produced read my lips is a movie that understands characters must come first",+
196,"there ought to be a directing license , so that ed burns can have his revoked",-
197,griffiths proves she 's that rare luminary who continually raises the standard of her profession,+
198,"every once in a while , a movie will come along that turns me into that annoying specimen of humanity that i usually dread encountering the most the fanboy",+
199,allen 's funniest and most likeable movie in years,+
200,romanek keeps adding flourishes artsy fantasy sequences that simply feel wrong they cheapen the overall effect,-
201,"the genius of the work speaks volumes , offering up a hallucinatory dreamscape that frustrates and captivates",+
202,"while solondz tries and tries hard , storytelling fails to provide much more insight than the inside column of a torn book jacket",-
203,"it 's something of the ultimate scorsese film , with all the stomach turning violence , colorful new york gang lore and other hallmarks of his personal cinema painted on their largest ever historical canvas",+
204,"while it is interesting to witness the conflict from the palestinian side , longley 's film lacks balance and fails to put the struggle into meaningful historical context",-
205,writer director ritchie reduces wertmuller 's social mores and politics to tiresome jargon,-
206,disturbingly superficial in its approach to the material,-
207,"the whole mildly pleasant outing the r rating is for brief nudity and a grisly corpse remains aloft not on its own self referential hot air , but on the inspired performance of tim allen",+
208,"it almost plays like solaris , but with guns and jokes",-
209,understands that a generation defines its music as much as the music defines a generation,+
210,director oliver parker labors so hard to whip life into the importance of being earnest that he probably pulled a muscle or two,-
211,it 's too interested in jerking off in all its byzantine incarnations to bother pleasuring its audience,-
212,"nothing denis has made before , like beau travil and nenette et boni , could prepare us for this gory , perverted , sex soaked riff on the cannibal genre",+
213,the kind of movie you see because the theater has air conditioning,-
214,griffin co manage to be spectacularly outrageous,+
215,works on the whodunit level as its larger themes get lost in the murk of its own making,-
216,a pure participatory event that malnourished intellectuals will gulp down in a frenzy,+
217,it 's the chemistry between the women and the droll scene stealing wit and wolfish pessimism of anna chancellor that makes this two weddings and a funeral fun,+
218,lawrence should stick to his day job he 's a better actor than a standup comedian,-
219,there is greatness here,+
220,hypnotically dull,-
221,"it would be disingenuous to call reno a great film , but you can say that about most of the flicks moving in and out of the multiplex this is a movie that is what it is a pleasant distraction , a friday night diversion , an excuse to eat popcorn",+
222,"the bai brothers have taken an small slice of history and opened it up for all of us to understand , and they 've told a nice little story in the process",+
223,"by turns touching , raucously amusing , uncomfortable , and , yes , even sexy , never again is a welcome and heartwarming addition to the romantic comedy genre",+
224,it has a subtle way of getting under your skin and sticking with you long after it 's over,+
225,nettelbeck has a pleasing way with a metaphor,+
226,at 78 minutes it just zings along with vibrance and warmth,+
227,"if ever a concept came handed down from the movie gods on a silver platter , this is it if ever such a dependable concept was botched in execution , this is it",-
228,"i kept thinking over and over again , ` i should be enjoying this ' but i was n't",-
229,time changer may not be the most memorable cinema session but its profound self evaluation message about our fragile existence and the absence of spiritual guidance should at least invade an abundance of mindsets,+
230,too sincere to exploit its subjects and too honest to manipulate its audience,+
231,"stephen earnhart 's documentary is a decomposition of healthy eccentric inspiration and ambition wearing a cloak of unsentimental , straightforward text when it 's really an exercise in gross romanticization of the delusional personality type",-
232,"mastering its formidable arithmetic of cameras and souls , group articulates a flood of emotion",+
233,most of the action setups are incoherent,-
234,an instant candidate for worst movie of the year,-
235,i was perplexed to watch it unfold with an astonishing lack of passion or uniqueness,-
236,the magic ( and original running time ) of ace japanimator hayao miyazaki 's spirited away survives intact in bv 's re voiced version,+
237,"each story on its own could have been expanded and worked into a compelling single feature , but in its current incarnation , storytelling never quite gets over its rather lopsided conception",-
238,"it 's funny , touching , dramatically forceful , and beautifully shot",+
239,"like the english patient and the unbearable lightness of being , the hours is one of those reputedly unfilmable novels that has bucked the odds to emerge as an exquisite motion picture in its own right",+
240,"well , it does go on forever",-
241,the way coppola professes his love for movies both colorful pop junk and the classics that unequivocally qualify as art is giddily entertaining,+
242,"one sided documentary offers simplistic explanations to a very complex situation stylistically , the movie is a disaster",-
243,deliberately and skillfully uses ambiguity to suggest possibilities which imbue the theme with added depth and resonance,+
244,"somewhere in the middle , the film compels , as demme experiments he harvests a few movie moment gems , but the field of roughage dominates",-
245,"directed without the expected flair or imagination by hong kong master john woo , windtalkers airs just about every cliche in the war movie compendium across its indulgent two hour and fifteen minute length",-
246,hands down the year 's most thought provoking film but it pays a price for its intricate intellectual gamesmanship,+
247,"even if you do n't think kissinger 's any more guilty of criminal activity than most contemporary statesmen , he 'd sure make a courtroom trial great fun to watch",+
248,"` possession , ' based on the book by a s byatt , demands that labute deal with the subject of love head on trading in his cynicism for reverence and a little wit",+
249,"on its own , big trouble could be considered a funny little film",+
250,a quiet treasure a film to be savored,+
251,what a pity that the material is so second rate,-
252,"will probably stay in the shadow of its two older , more accessible qatsi siblings",-
253,"by the miserable standards to which the slasher genre has sunk , actually pretty good of course , by more objective measurements it 's still quite bad",-
254,"biggie and tupac is so single mindedly daring , it puts far more polished documentaries to shame",+
255,a rather average action film that benefits from several funny moments supplied by epps,-
256,a lifetime movie about men,-
257,the sweetest thing leaves an awful sour taste,-
258,"chicago is , in many ways , an admirable achievement",+
259,the writing is clever and the cast is appealing,+
260,"a graceful , moving tribute to the courage of new york 's finest and a nicely understated expression of the grief shared by the nation at their sacrifice",+
261,this ill fitting tuxedo is strictly off the rack,-
262,"the two leads are almost good enough to camouflage the dopey plot , but so much naturalistic small talk , delivered in almost muffled exchanges , eventually has a lulling effect",-
263,it does n't matter that the film is less than 90 minutes it still feels like a prison stretch,-
264,"if it 's seldom boring , well , it 's also rarely coherent",-
265,"all in all , a great party",+
266,"the filmmakers want nothing else than to show us a good time , and in their cheap , b movie way , they succeed",+
267,the script is too mainstream and the psychology too textbook to intrigue,-
268,"starts out with tremendous promise , introducing an intriguing and alluring premise , only to fall prey to a boatload of screenwriting cliches that sink it faster than a leaky freighter",-
269,the saturation bombing of reggio 's images and glass ' evocative music ultimately leaves viewers with the task of divining meaning,+
270,"filmmaker stacy peralta has a flashy editing style that does n't always jell with sean penn 's monotone narration , but he respects the material without sentimentalizing it",+
271,"chicago is sophisticated , brash , sardonic , completely joyful in its execution",+
272,"sparkling , often hilarious romantic jealousy comedy attal looks so much like a young robert deniro that it seems the film should instead be called ` my husband is travis bickle '",+
273,this often hilarious farce manages to generate the belly laughs of lowbrow comedy without sacrificing its high minded appeal,+
274,"american chai encourages rueful laughter at stereotypes only an indian american would recognize and the lesson , in the end , is nothing new",-
275,"as broad and cartoonish as the screenplay is , there is an accuracy of observation in the work of the director , frank novak , that keeps the film grounded in an undeniable social realism",+
276,warmed over tarantino by way of wannabe elmore leonard,-
277,"blessed with a searing lead performance by ryan gosling ( murder by numbers ) , the movie is powerful and provocative it 's also built on a faulty premise , one it follows into melodrama and silliness",-
278,cacoyannis is perhaps too effective in creating an atmosphere of dust caked stagnation and labored gentility,-
279,an ironic speculation on democracy in a culture unaccustomed to it,+
280,sitting through the last reel ( spoiler alert ! ) is significantly less charming than listening to a four year old with a taste for exaggeration recount his halloween trip to the haunted house,-
281,a standard haunted house tale transplanted to the high seas,-
282,noyce 's film is contemplative and mournfully reflective,+
283,high crimes steals so freely from other movies and combines enough disparate types of films that it ca n't help but engage an audience,+
284,"full frontal , which opens today nationwide , could almost be classified as a movie industry satire , but it lacks the generous inclusiveness that is the genre 's definitive , if disingenuous , feature",-
285,a non mystery mystery,-
286,"theirs is a simple and heart warming story , full of mirth that should charm all but the most cynical",+
287,"even if you do n't understand what on earth is going on , this is a movie that will stimulate hours of post viewing discussion , if only to be reminded of who did what to whom and why",+
288,a delicious crime drama on par with the slickest of mamet,+
289,"ambition is in short supply in the cinema , and egoyan tackles his themes and explores his characters ' crises with seriousness and compassion",+
290,best enjoyed as a work of fiction inspired by real life events those seeking a definitive account of eisenstein 's life would do better elsewhere,+
291,a rambling ensemble piece with loosely connected characters and plots that never quite gel,-
292,"none of these characters resembles anyone you 've ever met in real life , unless you happen to know annoyingly self involved people who speak in glib sentences that could have only come from the pen of a screenwriter",-
293,there is enough originality in ` life ' to distance it from the pack of paint by number romantic comedies that so often end up on cinema screens,+
294,a bit too derivative to stand on its own as the psychological thriller it purports to be,-
295,illuminating if overly talky documentary,+
296,no one but a convict guilty of some truly heinous crime should have to sit through the master of disguise,-
297,an enjoyably frothy ` date movie ',+
298,"in a way , the film feels like a breath of fresh air , but only to those that allow it in",+
299,"even with a green mohawk and a sheet of fire red flame tattoos covering his shoulder , however , kilmer seems to be posing , rather than acting and that leaves a hole in the center of the salton sea",-
300,"high drama , disney style a wing and a prayer and a hunky has been pursuing his castle in the sky",-
301,the central character is n't complex enough to hold our interest,-
302,a retread of material already thoroughly plumbed by martin scorsese,-
303,a mean spirited film made by someone who surely read the catcher in the rye but clearly suffers from dyslexia,-
304,"it 's so laddish and juvenile , only teenage boys could possibly find it funny",-
305,"egoyan 's movie is too complicated to sustain involvement , and , if you 'll excuse a little critical heresy , too intellectually ambitious",-
306,"you do n't need to know your ice t 's from your cool j 's to realize that as far as these shootings are concerned , something is rotten in the state of california",+
307,"j lo will earn her share of the holiday box office pie , although this movie makes one thing perfectly clear she 's a pretty woman , but she 's no working girl",-
308,"perhaps a better celebration of these unfairly dismissed heroes would be a film that is n't this painfully forced , false and fabricated",-
309,"d espite its familiar subject matter , ice age is consistently amusing and engrossing",+
310,"the digital effects reminded me of terry gilliam 's rudimentary old monty python cartoons , in which he would cut out figures from drawings and photographs and paste them together",+
311,"the notion of deleting emotion from people , even in an advanced prozac nation , is so insanely dysfunctional that the rampantly designed equilibrium becomes a concept doofus",-
312,beneath clouds is a succinct low budget film whose compelling characters and intelligent script are exactly what was missing from rabbit proof fence,+
313,"it 's badly acted , blandly directed , and could have been scripted by someone who just graduated from elementary school",-
314,at the bottom rung of the series ' entries,-
315,chokes on its own depiction of upper crust decorum,-
316,"a terrific date movie , whatever your orientation",+
317,"a pale xerox of other , better crime movies",-
318,its director 's most substantial feature for some time,+
319,the film starts out as competent but unremarkable and gradually grows into something of considerable power,+
320,just a kiss is a just a waste,-
321,too close to phantom menace for comfort,-
322,"the film is exhilarating to watch because sandler , liberated from the constraints of formula , reveals unexpected depths as an actor",+
323,"this mild mannered farce , directed by one of its writers , john c walsh , is corny in a way that bespeaks an expiration date passed a long time ago",-
324,"the storytelling may be ordinary , but the cast is one of those all star reunions that fans of gosford park have come to assume is just another day of brit cinema",+
325,"although visually striking and slickly staged , it 's also cold , grey , antiseptic and emotionally desiccated",-
326,"an important movie , a reminder of the power of film to move us and to make us examine our values",+
327,"there 's something unintentionally comic in the film 's drumbeat about authenticity , given the stale plot and pornographic way the film revels in swank apartments , clothes and parties",-
328,"roger michell , who did an appealing job directing persuasion and notting hill in england , gets too artsy in his american debut",-
329,"as teen movies go , orange county is a refreshing change",+
330,"while glover , the irrepressible eccentric of river 's edge , dead man and back to the future , is perfect casting for the role , he represents bartleby 's main overall flaw",-
331,"without non stop techno or the existential overtones of a kieslowski morality tale , maelstr m is just another winter sleepers",-
332,"a 93 minute condensation of a 26 episode tv series , with all of the pitfalls of such you 'd expect",-
333,rifkin 's references are impeccable throughout,+
334,the movie succumbs to being nothing more than a formulaic chase in the dark,-
335,"it might be ` easier ' to watch on video at home , but that should n't stop die hard french film connoisseurs from going out and enjoying the big screen experience",+
336,proves that some movie formulas do n't need messing with like the big bug movie,+
337,nothing about this movie works,-
338,nothing scary here except for some awful acting and lame special effects,-
339,"takes you by the face , strokes your cheeks and coos beseechingly at you slow down , shake off your tensions and take this picture at its own breezy , distracted rhythms",+
340,"though the plot is predictable , the movie never feels formulaic , because the attention is on the nuances of the emotional development of the delicate characters",+
341,"in questioning the election process , payami graphically illustrates the problems of fledgling democracies , but also the strength and sense of freedom the iranian people already possess , with or without access to the ballot box",+
342,an intriguing and entertaining introduction to johnson,+
343,the kind of spectacularly misconceived enterprise that only a sophisticated cinephile could have perpetrated,-
344,"my god , i 'm behaving like an idiot ! yes , you are , ben kingsley",-
345,the viewer takes great pleasure in watching the resourceful molly stay a step ahead of her pursuers,+
346,"the characterizations and dialogue lack depth or complexity , with the ironic exception of scooter",-
347,"a sloppy , amusing comedy that proceeds from a stunningly unoriginal premise",+
